,W,Reject null hypothesis
2dd040db6fdf52c9cf4932d081c19260,129,False
6564ed484a348efe4731e0b6682f0bbb,119,False
5e50837863a571c3a0c2cd1420385e95,122,False
c48582949c0021e011a7b6152f194793,116,False
25f8ea8ed00a773a34168d64618f00ee,682,True
5b8a09c3125aa18eaac67c067d81150f,671,True
222e7a330b9a5e24ed59ec5bc8ceac35,669,True
081037b458c886c15d10dce15ab78c73,148,False
9c85058051573597c542008367c88e5c,646,True
d253d6224ed2783d55dfa63057af8d44,671,True
de752bd4fbe2c53252d88b4361bdd702,163,False
985c7be743a21455a84b3a2fda5d2d27,123,False
2be90cc9bd2811af7cca6bc28463b176,129,False
3bc6d0b911f182dd51d4f47982ebeccf,124,False
dd6b7d79ca460e74664d54d55dfa0d05,165,False
0bacd0a54dbb68d4fbb00d777c5d124f,124,False
0204aa97a655fab087a6f6902be35eb6,129,False
2fcf2f6dfa8b8a33e6ee0dd44b56c093,127,False
30f13baf56a68fc6c2b963515fe6fcc4,190,False
d1f0910bb84c670c9d28bb2afc05001e,197,False
3932630a38a555e7b87153985d994027,127,False
b040c96ee9f644c8665cf927472e08ec,124,False
aa936f0c537796e1770033d4dadceb6c,627,True
f22b87f73bd90eb62ed187c2575f3c87,121,False
fc457ddd7a90a275ac31d6fdf42b92fb,310,False
3ecd95447b41d879f09b98ee906ebed5,164,False
65aae1815c95a370de8476917714bfde,126,False
0a5c41846b15981e676414aa98629229,124,False
ae97cd8f569193b5efab6e755d117c8b,126,False
dc1ba7f984b333918c3778e6e7fc40a8,126,False
383f854f50836090fdcdc05cf9a95078,135,False
c476a045b42b30e13d8a25f4b2e5a226,504,False
fd7fabb9271783a710a6b87681151fed,142,False
60c472c0befcf98a67f70e59c3860efe,143,False
065dac92a2d0d2cba9ea5201375ef768,131,False
7ee96545c595398ff36ebb211e99083e,135,False
dfd4530be5dde0c6451cb8f7bc330d40,139,False
4ec38f820b9e7662305e225473970122,198,False
ecc95de27390f17481f22552111f4519,133,False
db870fbe8d7d9d12fe45bdf880a42b9c,455,False
340655d1aa06c93e323cc5181681a317,125,False
84e235fc249ada26302ffa297081bf99,163,False
587f197385009e5aafb31ddbb8ed20f2,130,False
a9a93930ed630dbf24a2d8cb7397e0dc,136,False
bb187c1666131439ce5e37a827c6f934,125,False
510978386ec7775830ce66ef90f168c6,172,False
b57d46054c48e29d83688bae4f676fea,111,False
61a35a6889dcaf168ee1de897aadd085,167,False
99130863cb0ff5cd92ad67187561057e,134,False
c3acff7e2b1c14c645393fd67c4cf4e6,217,False
f0dda0a0f91c6172e450f7ba90f31e9a,144,False
83192758f0a169af35bebe1352ed5f1a,139,False
f0769a3edaef26be7e92fd1826b22b3f,133,False
e149aec1296f16cb57885d98bc69e616,182,False
d76061b2bcf6f2be7788796a7b9c03b5,203,False
a60427c6af1be00043839e776ac42f86,129,False
cffbe6131ae5774da18f3ed65c2e1eb0,125,False
5d334fe576cbd68ce365caef9637cd00,133,False
c49db6ba7a4fdec899ce0c751c5c259c,128,False
38063f050f997985c98be4f788968899,191,False
6b7ee903019ef739df36e7b6d0e6b7a2,128,False
7eb7a384d6ef9f24cf2abe6a53bf7860,132,False
e1d427eebadec6e022ae5741e403a128,125,False
85695080d3c85d89f091bbb5b1e61906,565,False
753bc93248fde9dcb43fea45b2019599,143,False
ce418b12516d223e440993a42fae844e,264,False
8fc57b0a056523b5c4a2c9ffc1188a97,126,False
c59427da23db7177258cb05c76731e7d,124,False
542eddf0afb022815a5985304b821f92,127,False
3143d96b5fa544cd0946633cf014a51d,141,False
b860c2fb7c750bc7e96b20013757a70c,132,False
8344b4816515200c45d434d3ee7fe645,136,False
99096e7f3e2e71db09e05aac5f48cdd5,143,False
8811a7464b95e9d9d9c947fb7a612a64,124,False
fd4374a0c15e1ca291f9ba2f1d6e15e4,126,False
e39a6d34b8bd3b3cac154f0d06c34be7,127,False
f67f903a1ab368f0a4f4e942a99f1a74,143,False
3b24cc4787f6544933015663ddae311e,141,False
fbaed85cad548818cbcc2d6e22c04271,127,False
bc029c5a8b448d61a8413cd046ffe7fb,132,False
a97f29919eb1c36bf55f6826ff8eb3f8,127,False
36fc9205c62364d8c88618f13dea9d22,132,False
50d1d0b47ca77b6f54f3ffc80c505877,141,False
