,Reject null hypothesis,W
6b7ee903019ef739df36e7b6d0e6b7a2,False,43
7eb7a384d6ef9f24cf2abe6a53bf7860,False,46
e1d427eebadec6e022ae5741e403a128,False,44
85695080d3c85d89f091bbb5b1e61906,False,38
753bc93248fde9dcb43fea45b2019599,False,45
ce418b12516d223e440993a42fae844e,False,41
8fc57b0a056523b5c4a2c9ffc1188a97,False,45
c59427da23db7177258cb05c76731e7d,False,47
542eddf0afb022815a5985304b821f92,False,48
3143d96b5fa544cd0946633cf014a51d,False,40
b860c2fb7c750bc7e96b20013757a70c,False,45
8344b4816515200c45d434d3ee7fe645,False,44
99096e7f3e2e71db09e05aac5f48cdd5,False,56
8811a7464b95e9d9d9c947fb7a612a64,False,39
fd4374a0c15e1ca291f9ba2f1d6e15e4,False,40
e39a6d34b8bd3b3cac154f0d06c34be7,False,45
f67f903a1ab368f0a4f4e942a99f1a74,False,56
3b24cc4787f6544933015663ddae311e,False,43
fbaed85cad548818cbcc2d6e22c04271,False,50
bc029c5a8b448d61a8413cd046ffe7fb,False,46
a97f29919eb1c36bf55f6826ff8eb3f8,False,45
36fc9205c62364d8c88618f13dea9d22,False,44
50d1d0b47ca77b6f54f3ffc80c505877,False,53
021fea7b9ee894e0a50c212098752733,False,49
76472cd61701bcfef12f0e56ae4a2245,False,47
78d5bec93e496eda72366e86f5e87510,False,47
11b9d8def57dd070a73009b0ceb880f2,False,39
9309055fb48fd73d46b2d45aba41a9d4,False,45
30381a87fea10892a599ee3646be63d9,False,45
76bb7a957118121fe37d2fb7fa829ddd,False,39
f641fa693f791d7469b06d281bd82419,False,46
a574797d5460367c41422138e8682a46,False,56
2bccd406feb6509d7adc0f06af20eb39,False,41
26ea18de1fe1957806cb9710ec10c2e1,False,45
e7d53a77ec701e151c4ed6ef5e82e584,False,57
7d1da44fe5fa112c07659cca04ac5bfb,False,44
ad38606cf90edd7f60b60a9250dfa7b2,False,35
a7ee9f34d261114ca9a7e1dcbb871a11,False,47
3c9ba9bac47d37ac83072ab5736d52b7,False,49
3bf689535665774af93be9b84244fdf2,False,47
96334d1ffaa05b0d305e6f4de644971a,False,47
3c65649e78d03870d3d9c3e87a4dac89,False,43
a9243f0d5d46677f6ca1a0086704faa8,False,53
76add0bef47730d3e02f0cb2e6372f84,False,44
9c4f85171779e4a3f46bb2f8826b1b4c,False,54
aa2319e8e8924b07ed2bd14528382b3c,False,45
b65c79c74a2594bc47a32b9e245d42df,False,47
f4dadab510b4b8636da78ffc84a82c0e,False,53
f4de59dae4d8da73a085927dc352257b,False,53
dbcf7fa30f14c5fc32fa2eeb849cd001,False,56
bc706d9e0828d1e0122bffd7eecf3846,False,47
5e79894207810214df568ac26f5f84c5,False,48
5cfeeb662c643e512cbfc724c984f53d,False,47
3800641a9bbe9e1b5fac3b8b407e003f,False,48
af986d6b5225035d332b23098401b736,False,47
8ea41924fb447cff86851b740f56d337,False,47
d0fc0eb386d1cf42b3a3cd3b17197027,False,56
18c36f19ba00cd00a2eb20527aa368ef,False,56
736bd8ef6286572fcfc8ccc6ffdd7dc6,False,44
b11ab469f992db51738706d2c2e2b554,False,47
d27d83a610560eb313e2cb54a9ee5e98,False,52
d6981b0dbb3cfacc397293636d21c0fa,False,48
11e3dfb0f665e0765e302710b7a29620,False,49
18a891e4c7fb210e56e894586729f407,False,46
43905ed446d13c5232e38ca5ac41f140,False,48
8202499ef34930244b5fbbc2cab31d56,False,48
9f7d685f9a9a9b6de7506e368b9e153d,False,46
7f9b32cb910929045a9ff3070e9a38b1,False,47
7374bbc35a664e64873ac9fa061a7ad0,False,42
be03f9d9198aaba7ae4673852f14fb73,False,49
406f87ad5a12b027e8ed398a9cfe82f7,False,47
4eb401f3f180c65e024c2d5628c8db44,False,54
07271b3c589c4f59456d069ef5cf64aa,False,47
6b8133e2739584942a9c0d64b519488b,False,45
8dde0c76da59d1558a9a124c2f895797,False,46
41e05e932e062a16a5b7bb162b86a5a6,False,47
667f039061ef0749c8174da1384ff1a1,False,47
9191ed06b4437ff154e0849f341cd11d,False,43
caefa044f38f2cc4b429f02628c72243,False,45
3f069dbca2f00a6468e7c2a1a845654a,False,47
81bb39aebcbbe70925ac0f5ac3fff0f5,False,48
722c09a6852383dbb474662328a89b80,False,48
732dd9795cdb920125f4eda2e412e84f,False,43
372ee5fa8367d5632ed3b8ba0c8becfc,False,44
317faf40ab70262d43978ca7d1f1509c,False,44
87b5b6e45377adad1a530d47dc64cd5b,False,46
bc463e566d8e2991814f58f7a90dea13,False,49
2776fcb40bfbc8fb8a3cef3f3f0a803f,False,51
7039a10db9c3f6d8bfb9f0a2db507490,False,44
3fa3154d65e7587b9a145db38dcb856b,False,48
5556a77f536203b7934fe2730d93b18f,False,42
58bf5404ab56c6adc344f5648cf07a6c,False,56
0023879846315b5eea4cc545513fb264,False,56
cc49c5023531c4351d5e6911528cf7c2,False,48
195ac945e1848eae2fd1679748b96533,False,48
bee3a8a40699867d927ec086b3501336,False,48
af2f6ea96ee82ab6364ffcf67ad84dcd,False,53
522a47e9eb9e3f738ee4f9dafc4aac52,False,56
febfb1dd6e41fa9b7e36989fa227961c,False,56
